"month_day","rides","month","day","date"
"7/12","37707","7","12","2019/7/12"
"7/13","27270","7","13","2019/7/13"
"7/14","21485","7","14","2019/7/14"
"7/15","33040","7","15","2019/7/15"
"7/16","36267","7","16","2019/7/16"
"7/17","38720","7","17","2019/7/17"
"7/18","38863","7","18","2019/7/18"
"7/19","40583","7","19","2019/7/19"
"7/20","27181","7","20","2019/7/20"
"7/21","22404","7","21","2019/7/21"
"7/22","30308","7","22","2019/7/22"
"7/23","32798","7","23","2019/7/23"
"7/24","34329","7","24","2019/7/24"
"7/25","36185","7","25","2019/7/25"
"7/26","34374","7","26","2019/7/26"
"7/27","24526","7","27","2019/7/27"
"7/28","20458","7","28","2019/7/28"
"7/29","29161","7","29","2019/7/29"
"7/30","31113","7","30","2019/7/30"
"7/31","33464","7","31","2019/7/31"
"8/1","36560","8","1","2019/8/1"
"8/2","35929","8","2","2019/8/2"
"8/3","26892","8","3","2019/8/3"
"8/4","23681","8","4","2019/8/4"
"8/5","32078","8","5","2019/8/5"
"8/6","33897","8","6","2019/8/6"
"8/7","36021","8","7","2019/8/7"
"8/8","37514","8","8","2019/8/8"
"8/9","35022","8","9","2019/8/9"
"8/10","24267","8","10","2019/8/10"
"8/11","19480","8","11","2019/8/11"
"8/12","29475","8","12","2019/8/12"
"8/13","31386","8","13","2019/8/13"
"8/14","32988","8","14","2019/8/14"
"8/15","34377","8","15","2019/8/15"
"8/16","32453","8","16","2019/8/16"
"8/17","22744","8","17","2019/8/17"
"8/18","18502","8","18","2019/8/18"
"8/19","28361","8","19","2019/8/19"
"8/20","33826","8","20","2019/8/20"
"8/21","35230","8","21","2019/8/21"
"8/22","36217","8","22","2019/8/22"
"8/23","34428","8","23","2019/8/23"
"8/24","23353","8","24","2019/8/24"
"8/25","19124","8","25","2019/8/25"
"8/26","29646","8","26","2019/8/26"
"8/27","29476","8","27","2019/8/27"
"8/28","31003","8","28","2019/8/28"
"8/29","33180","8","29","2019/8/29"
"8/30","29644","8","30","2019/8/30"
"8/31","21175","8","31","2019/8/31"
"9/1","18664","9","1","2019/9/1"
"9/2","13917","9","2","2019/9/2"
"9/3","28237","9","3","2019/9/3"
"9/4","30397","9","4","2019/9/4"
"9/5","34704","9","5","2019/9/5"
"9/6","32380","9","6","2019/9/6"
"9/7","19988","9","7","2019/9/7"
"9/8","18191","9","8","2019/9/8"
"9/9","30580","9","9","2019/9/9"
"9/10","35819","9","10","2019/9/10"
"9/11","39494","9","11","2019/9/11"
"9/12","39624","9","12","2019/9/12"
"9/13","39656","9","13","2019/9/13"
"9/14","25347","9","14","2019/9/14"
"9/15","21974","9","15","2019/9/15"
"9/16","33471","9","16","2019/9/16"
"9/17","36379","9","17","2019/9/17"
"9/18","37645","9","18","2019/9/18"
"9/19","40150","9","19","2019/9/19"
"9/20","39188","9","20","2019/9/20"
"9/21","25983","9","21","2019/9/21"
"9/22","23807","9","22","2019/9/22"
"9/23","33515","9","23","2019/9/23"
"9/24","37430","9","24","2019/9/24"
"9/25","39023","9","25","2019/9/25"
"9/26","39591","9","26","2019/9/26"
"9/27","38216","9","27","2019/9/27"
"9/28","22942","9","28","2019/9/28"
"9/29","19888","9","29","2019/9/29"
