"area_name","date","to","from","total","hour","hour_tw","ampm","hour12"
"Irving Park","2019/1/1","6","4","10","21","9","PM","9 PM"
"Irving Park","2019/1/1","7","1","8","22","10","PM","10 PM"
"Irving Park","2019/1/1","8","8","16","23","11","PM","11 PM"
"Irving Park","2019/1/2","6","3","9","0","12","AM","12 AM"
"Irving Park","2019/1/2","5","3","8","1","1","AM","1 AM"
"Irving Park","2019/1/2","1","2","3","2","2","AM","2 AM"
"Irving Park","2019/1/2","3","5","8","3","3","AM","3 AM"
"Irving Park","2019/1/2","2","2","4","4","4","AM","4 AM"
"Irving Park","2019/1/2","2","2","4","5","5","AM","5 AM"
"Irving Park","2019/1/2","4","2","6","6","6","AM","6 AM"
"Irving Park","2019/1/2","2","4","6","7","7","AM","7 AM"
"Irving Park","2019/1/2","2","2","4","8","8","AM","8 AM"
"Irving Park","2019/1/2","0","4","4","9","9","AM","9 AM"
"Irving Park","2019/1/2","3","2","5","10","10","AM","10 AM"
"Irving Park","2019/1/2","6","4","10","11","11","AM","11 AM"
"Irving Park","2019/1/2","6","4","10","12","12","PM","12 PM"
"Irving Park","2019/1/2","9","2","11","13","1","PM","1 PM"
"Irving Park","2019/1/2","4","5","9","14","2","PM","2 PM"
"Irving Park","2019/1/2","14","5","19","15","3","PM","3 PM"
"Irving Park","2019/1/2","4","1","5","16","4","PM","4 PM"
"Irving Park","2019/1/2","11","5","16","17","5","PM","5 PM"
"Irving Park","2019/1/2","9","3","12","18","6","PM","6 PM"
"Irving Park","2019/1/2","5","1","6","19","7","PM","7 PM"
"Irving Park","2019/1/2","10","2","12","20","8","PM","8 PM"
"Irving Park","2019/1/2","8","6","14","21","9","PM","9 PM"
"Irving Park","2019/1/2","7","1","8","22","10","PM","10 PM"
"Irving Park","2019/1/2","8","4","12","23","11","PM","11 PM"
"Irving Park","2019/1/3","11","3","14","0","12","AM","12 AM"
"Irving Park","2019/1/3","2","3","5","1","1","AM","1 AM"
"Irving Park","2019/1/3","4","5","9","2","2","AM","2 AM"
"Irving Park","2019/1/3","2","0","2","3","3","AM","3 AM"
"Irving Park","2019/1/3","3","1","4","4","4","AM","4 AM"
"Irving Park","2019/1/3","4","1","5","5","5","AM","5 AM"
"Irving Park","2019/1/3","3","4","7","7","7","AM","7 AM"
"Irving Park","2019/1/3","1","2","3","8","8","AM","8 AM"
"Irving Park","2019/1/3","6","6","12","9","9","AM","9 AM"
"Irving Park","2019/1/3","2","5","7","10","10","AM","10 AM"
"Irving Park","2019/1/3","10","5","15","11","11","AM","11 AM"
"Irving Park","2019/1/3","8","5","13","12","12","PM","12 PM"
"Irving Park","2019/1/3","3","3","6","13","1","PM","1 PM"
"Irving Park","2019/1/3","6","3","9","14","2","PM","2 PM"
"Irving Park","2019/1/3","5","3","8","15","3","PM","3 PM"
"Irving Park","2019/1/3","11","4","15","16","4","PM","4 PM"
"Irving Park","2019/1/3","7","4","11","17","5","PM","5 PM"
"Irving Park","2019/1/3","8","3","11","18","6","PM","6 PM"
"Irving Park","2019/1/3","14","2","16","19","7","PM","7 PM"
"Irving Park","2019/1/3","9","5","14","20","8","PM","8 PM"
"Irving Park","2019/1/3","12","1","13","21","9","PM","9 PM"
"Irving Park","2019/1/3","9","3","12","22","10","PM","10 PM"
"Irving Park","2019/1/3","7","2","9","23","11","PM","11 PM"
"Irving Park","2019/1/4","11","1","12","0","12","AM","12 AM"
"Irving Park","2019/1/4","4","5","9","1","1","AM","1 AM"
"Irving Park","2019/1/4","3","4","7","2","2","AM","2 AM"
"Irving Park","2019/1/4","1","2","3","3","3","AM","3 AM"
"Irving Park","2019/1/4","6","0","6","4","4","AM","4 AM"
"Irving Park","2019/1/4","1","4","5","5","5","AM","5 AM"
"Irving Park","2019/1/4","2","4","6","6","6","AM","6 AM"
"Irving Park","2019/1/4","3","4","7","7","7","AM","7 AM"
"Irving Park","2019/1/4","2","2","4","8","8","AM","8 AM"
"Irving Park","2019/1/4","3","3","6","9","9","AM","9 AM"
"Irving Park","2019/1/4","3","2","5","10","10","AM","10 AM"
"Irving Park","2019/1/4","3","4","7","11","11","AM","11 AM"
"Irving Park","2019/1/4","4","7","11","12","12","PM","12 PM"
"Irving Park","2019/1/4","1","3","4","13","1","PM","1 PM"
"Irving Park","2019/1/4","5","6","11","14","2","PM","2 PM"
"Irving Park","2019/1/4","9","10","19","15","3","PM","3 PM"
"Irving Park","2019/1/4","12","6","18","16","4","PM","4 PM"
"Irving Park","2019/1/4","10","3","13","17","5","PM","5 PM"
"Irving Park","2019/1/4","9","4","13","18","6","PM","6 PM"
"Irving Park","2019/1/4","14","6","20","19","7","PM","7 PM"
"Irving Park","2019/1/4","7","1","8","20","8","PM","8 PM"
"Irving Park","2019/1/4","8","5","13","21","9","PM","9 PM"
"Irving Park","2019/1/4","10","2","12","22","10","PM","10 PM"
"Irving Park","2019/1/4","6","4","10","23","11","PM","11 PM"
"Irving Park","2019/1/5","6","7","13","0","12","AM","12 AM"
"Irving Park","2019/1/5","13","6","19","1","1","AM","1 AM"
"Irving Park","2019/1/5","8","2","10","2","2","AM","2 AM"
"Irving Park","2019/1/5","6","3","9","3","3","AM","3 AM"
